SampleName,Sample,WCH,NPOC,SPC,SO4,NO3,TotalN,Latitude,Longitude,streamorde,DamDensWs,PctFire2010Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,PrecipWs,TmaxWs,TmeanWs,RunoffWs,PopDen2010Ws,WsAreaSqKm,WWTPAllDensWs,AridityWs,NPPWs
southforkpolouse_2019_sw_WHONDRS-S19S_0055,S19S_0055,30,2.706666667,652,36.4,3.453333333,1.283333333,46.732428,-117.180863,4,0.003028549,0,0.01417361,0,4.052834858,3.92745292,2.613940836,0.573486081,0.003543403,0.026984374,9.343952638,0,3.811610913,2.53053459,3.21959011,69.74806408,0.028347221,0.10548437,621.0709094,14.32134835,8.244810388,201.1150407,113.3640977,330.1911,0.03937114,0.5195,5894
middleoconee_2019_sw_WHONDRS-S19S_0011,S19S_0011,100,3.5,51.4,3.116666667,2.973333333,1.13,33.955686,-83.437674,5,0.037609895,0,0.711361474,0,11.48600259,10.77686801,4.613071378,1.265236461,0.409571758,34.89777631,4.495045589,7.098026431,0.696218543,1.534157109,18.9581485,0,2.857649318,0.200866532,1300.535533,22.15875118,16.15299044,431.0000463,167.0862211,1010.3724,0.014846011,0.9087,8020
farmington_2019_sw_WHONDRS-S19S_0053,S19S_0053,10,2.523333333,308,15.21666667,2.936666667,1.22,41.869567,-72.7966519,5,0.05834254,0,3.409538025,0,8.206625005,4.853375863,2.812553821,0.607975939,0.203242072,29.81336455,3.465616874,35.17684091,0.440299479,0.580251564,2.041172097,0.407184254,7.62896385,0.352995703,1299.71236,14.10099693,8.408096947,696.4212411,136.1645233,1285.5114,0.013224309,1.1672,10953
marthacreek_2019_sw_WHONDRS-S19S_0030,S19S_0030,15,0.386666667,38.3,0.36,2.886666667,0.995,45.792348,-121.929131,2,0,0,0,0,3.64281109,2.471523748,0,0.010745755,0,0.51579626,90.02793896,0.988609499,0.644745326,1.01010101,0.096711799,0.268643886,0.322372663,0,2539.7383,14.26062874,8.963277244,1134,10.70917993,8.3754,0,1.9117,8146
nebranchanacostia_2019_sw_WHONDRS-S19S_0081,S19S_0081,19.5,2.683333333,423,11.55,2.863333333,1.063333333,38.960004,-76.9261495,4,0.041165795,0,0.231557595,0,17.9322833,25.21060163,14.47142348,5.397607547,0.188024767,17.43999185,0.684021137,5.742165249,0.283426497,1.582464606,4.954406309,2.142370872,3.688712493,0.050942671,1094.534366,18.77819996,13.09558959,408.3566219,1193.215377,194.3361,0.108060211,0.8449,18073
stroublescreek_2019_sw_WHONDRS-S19S_0089,S19S_0089,15,1.706666667,511,22.49,2.776666667,0.813333333,37.21008,-80.44539,1,0,0,0,0,16.9101684,27.76506484,28.49850378,9.845684445,0.011735023,1.830663616,0,0.77451153,0,0,12.36284692,2.000821452,0,0,1018.020821,17.82673174,11.73841749,515.4103738,1661.597639,15.3387,0.065194573,0.8201,16672
lecontecreek_2019_sw_WHONDRS-S19S_0018,S19S_0018,15,0.69,17.98,2.72,2.17,2.266666667,35.6922935,-83.504941,2,0,0,0,0,1.977959876,0,0,0,0,37.2421588,10.6433079,50.13657342,0,0,0,0,0,0,1689.587683,17.57951559,11.06670013,617,0.002080441,9.5553,0,1.4069,6302
lowercolorado_2019_sw_WHONDRS-S19S_0063,S19S_0063,20,2.076666667,537,28.26666667,1.806666667,0.776666667,30.250335,-97.709399,6,0.006775606,0,0.533392748,0,2.23679318,0.864916153,0.48165048,0.143671557,0.079653093,0.963365045,4.653316493,0.08230359,66.78188068,8.566496464,0.351803162,14.03740067,0.154235495,0.069121197,588.1304093,25.11376765,17.82712042,18.29811347,11.88399781,89881.2558,7.34E-04,0.2625,3922
blueriver_2019_sw_WHONDRS-S19S_0024,S19S_0024,29,0.64,534,5,1.696666667,0.66,34.44205,-96.6227,4,0.012155047,0,0.414061688,0,1.9540758,0.586359484,0.231918303,0.027348857,0.085328432,17.55304311,0.014494894,0.001367443,0.650629297,63.43239089,14.56244564,0.470400333,0.00191442,0.014221405,1038.018652,22.34469144,16.37378648,256.9780908,4.761311436,329.0814,0.006077524,0.6145,5743
mcdi_2019_sw_WHONDRS-S19S_0017,S19S_0017,14,2.786666667,371,8.123333333,1.25,0.753333333,38.94668,-96.44355,3,0,0,0.384366556,0,2.07786277,0.582258249,0.053278533,0,0.007611219,3.132016592,0,0.087529018,0.525174107,74.3578034,8.1592267,10.63287285,0,0,921.7165082,18.51493986,12.21321542,235,1.929884052,23.6493,0,0.5949,5315
lajara_2019_sw_WHONDRS-S19S_0034,S19S_0034,9.2,1.226666667,55.9,2.866666667,1.156666667,0.513333333,35.8677,-106.5233,1,0,0,0,0,0.144875045,0,0,0,0.181093807,0,23.01702282,3.132922854,0.941687794,63.7631293,0,0,0,8.819268381,755.4832906,10.5431334,3.943705122,23,1.266652397,4.9698,0,0.5824,4145
logan1_2019_sw_WHONDRS-S19S_0097,S19S_0097,7.5,0.906666667,455,14.18,1.04,0.473333333,41.720847,-111.8865,5,0.00485337,0,0.015288115,0,1.601383294,0.813889346,0.502885398,0.126111352,0.004992038,26.95294755,28.13568608,2.814885258,35.42618274,1.446942127,0.698323674,1.063678433,0.342079383,0.054725213,824.230594,11.54274269,5.286043962,275.8717845,22.29412599,1442.2968,0.005546709,0.3307,4043
altamaha_2019_sw_WHONDRS-S19S_0010,S19S_0010,30,2.273333333,125.7,13.42,0.833333333,0.66,31.667875,-81.840062,7,0.037530232,0,1.523699062,0,6.108845422,3.930126181,1.617349178,0.642154737,0.28581284,12.01688738,26.22150211,6.93805038,3.620893795,6.113786997,8.492074946,8.164025288,13.65005368,0.674738008,1194.578144,24.17206673,17.71581576,388.4034932,80.61614739,35278.2261,0.005329066,0.7726,7170
riogrande_2019_sw_WHONDRS-S19S_0066,S19S_0066,9,2.57,208,21.34,0.675,0.605,35.19845,-106.643178,7,0.003631358,0.235867359,0.260003058,2.53E-04,1.284514578,0.523878836,0.276720138,0.05590626,0.680289076,3.385205018,32.07770034,1.10221412,44.87594098,9.61091543,0.948563439,2.23647402,1.153471149,1.527950452,502.3405791,14.42694365,6.494132964,94.26198861,11.42185641,36625.4154,0.001310565,0.3511,3591
logan2_2019_sw_WHONDRS-S19S_0098,S19S_0098,5,0.866666667,296,1.933333333,0.656666667,0.293333333,41.950204,-111.580533,3,0,0,0.015908157,0,1.250115997,0.019885196,0.003977039,0.00132568,0,25.27540997,33.41640926,5.516153408,33.86714038,0.201503321,0,0,0.399029602,0.033141994,1127.528556,9.586895256,3.754816361,276.2875664,1.808250238,67.8897,0,0.3782,3051
hugercreek_2019_sw_WHONDRS-S19S_0044,S19S_0044,37,13.09333333,94,4.59,0.64,0.89,33.131027,-79.811134,3,0,0,0.050766623,0,3.985412747,0.31484621,0.011177972,0,0,0.027013432,32.85904577,0.002328744,0.142984891,0.109450975,0.145779384,0.127149431,62.17094845,0.053095367,1221.295229,24.29070496,18.08701995,337.2361253,4.199167775,193.2372,0,0.7973,6577
sangamon_2019_sw_WHONDRS-S19S_0083,S19S_0083,7,3.046666667,725,65.43666667,0.59,0.643333333,40.31083,-88.3227,5,0.001608753,0,0.151882386,0,2.368004216,2.950485473,0.677896407,0.236438452,0.003330119,0.617375113,0.001592666,0.240202935,0.00130309,0.034604281,1.605841318,90.59168976,0.505454156,0.013899627,971.0339365,16.25658903,10.62993584,279.0946854,13.23030931,621.5994,0.014478778,0.7853,4590
hopbrook_2019_sw_WHONDRS-S19S_0012,S19S_0012,4,1.833333333,107.3,4.026666667,0.356666667,0.36,42.47179,-72.33027,2,0,0,0.075291756,0,3.66419877,1.091730456,0.27606977,0,0.069017443,29.51436818,9.70008784,48.95846405,0.269795457,0.382733091,3.224996863,0,2.704228887,0.069017443,1343.256405,13.5936964,7.640618155,469,6.63362628,14.3442,0,1.1575,7774
tombigeeriver_2019_sw_WHONDRS-S19S_0020,S19S_0020,30.5,3.81,217,36.43333333,0.333333333,0.37,31.85294,-88.15755,7,0.025508597,0,1.684312089,0,4.051435808,2.053844984,0.861712492,0.281632882,0.186685691,15.7146287,19.27995177,13.61304241,5.171598105,4.120520877,15.07485705,3.227002674,13.54575044,1.133024023,1419.325395,23.25567067,16.84369161,593.0383522,29.29048476,46729.3446,0.033747531,0.9781,5319
dobsoncreek_2019_sw_WHONDRS-S19S_0087,S19S_0087,3,1.69,177.2,1.71,0.24,0.366666667,43.1233451,-116.7743431,2,0,0,0,0,0,0,0,0,0,0.252429635,34.01489335,0,64.64091884,1.091758172,0,0,0,0,809.939824,12.25694985,6.613717996,107.993563,0.315202957,14.2614,0,0.3211,3521
sharkriverslough_2019_sw_WHONDRS-S19S_0042,S19S_0042,54,13.40666667,6880,211.7666667,0.18,1.336666667,25.40976,-80.96434,1,0,0,3.338590957,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7681388,63.89327024,1385.023507,29.48170734,24.25985944,204,0.005853079,6.8472,0,0.6935,32763
arikareeriver_2019_sw_WHONDRS-S19S_0023,S19S_0023,29.5,4.443333333,543,1.54,0.063333333,0.54,39.75841,-102.44896,4,0,0,0.020580597,0,2.173323499,0.113489071,0.029236279,0.004109892,0.018992684,0.035183169,0.001276557,0.003175826,0.999108589,42.0213758,2.814186476,51.31922872,0.142663079,0.304069759,422.6524849,17.53873145,9.54445046,1.125968821,0.562924204,2890.5867,0,0.2277,2902
umpqua_2019_sw_WHONDRS-S19S_0079,S19S_0079,48,1.333333333,89.6,2.706666667,0.063333333,0.92,43.6369,-123.5721,6,0.005156822,0,0.40983018,0,2.198000142,0.55480013,0.333260126,0.116720294,0.107595637,0.168867443,64.27052487,2.959663764,13.23292358,8.354165922,6.692480162,0.031559752,0.323180971,0.246427023,1294.576568,16.63992958,10.47200901,768.1560646,9.519096689,10277.6472,4.86E-04,1.0956,9109
teakettle2_2019_sw_WHONDRS-S19S_0032,S19S_0032,39.5,2.026666667,39.4,1.286666667,0.06,0.83,36.95545,-119.02313,1,0,0,0,0,0.029515939,0,0,0,0,0,96.2514758,0,3.659976387,0,0,0,0.059031877,0,1204.211754,13.58606256,8.411040159,446,0.364040628,3.0492,0,0.517,5496
nfkcasparcreek_2019_sw_WHONDRS-S19S_0069,S19S_0069,5,0.653333333,161.8,10.21333333,0,0.276666667,39.362202,-123.735151,1,0,0,0,0,4.682779456,0.016784156,0,0,0,0.033568312,93.35347432,1.393084928,0.520308828,0,0,0,0,0,1276.60057,19.63104971,13.06388872,653,14.45919336,5.3622,0,1.0609,12451
morescreek_2019_sw_WHONDRS-S19S_0085,S19S_0085,8.5,1.243333333,112.9,4.013333333,0,0.35,43.6479639,-115.9902503,5,0,0.131801195,0.002187935,0,1.009338106,0.23139599,0.04130821,0.003238144,0.004813457,0.152367783,64.7979661,0.283993944,27.15078372,6.14923466,0.003588213,0,0.086467185,0.083316559,739.9739137,13.75329893,6.909119008,255.6534136,1.983575746,1028.367,0,0.4321,5144
littlewolfcreek_2019_sw_WHONDRS-S19S_0078,S19S_0078,10,2.433333333,109.3,8.36,0,0.686666667,43.43138889,-123.5855556,2,0,0,0,0,1.993608279,0.053264343,0.026632172,0.003804596,0.003804596,0.924516816,70.4877492,5.919951301,13.69654543,6.810226754,0.034241364,0,0.030436768,0.015218384,1249.284706,17.16798215,11.47230317,852,3.501236507,23.6556,0,1.2888,9674
comocreek_2019_sw_WHONDRS-S19S_0026,S19S_0026,11,3.503333333,21.4,0.99,0,0.283333333,40.03489,-105.54327,1,0,0,0,0.674686525,0.34370823,0.598306919,0.076379607,0.012729934,0,4.2136083,75.83221946,0.057284705,11.34237159,4.990134301,0,0,1.610336707,0.248233722,792.9476943,8.725757692,2.451116995,91,5.431662592,14.1399,0,0.429,5316
sycamorecreek_2019_sw_WHONDRS-S19S_0028,S19S_0028,12,1.736666667,490,13.86333333,0,0.42,33.750675,-111.507871,4,0,0,6.60E-04,0,0.417679799,0.285051616,0.109203802,0.016825963,0.032662164,3.30E-04,12.01307806,0.001979525,75.23812037,11.61255415,0.030682639,0,0.17815726,0.063014883,603.4815981,24.05775201,16.57369514,82.36426231,0.358877201,272.7927,0,0.2448,3339
teakettle_2019_sw_WHONDRS-S19S_0008,S19S_0008,12,1.87,28.1,0.23,0,0.316666667,36.961112,-119.027785,1,0,0,0,0,0.093984962,0,0,0,0,0,96.59304511,0,3.312969925,0,0,0,0,0,1210.914351,13.85415139,8.589035122,446,0.364040628,3.8304,0,0.5223,5605
littlewindriver_2019_sw_WHONDRS-S19S_0009,S19S_0009,13,2.705,580,158.6166667,0,0.446666667,42.9877,-108.3983,6,0.002645822,0.03245813,0.611575646,0.04059098,0.639271297,0.24717269,0.09499315,0.01943458,0.583861679,0.815721165,15.44151574,0.089644519,65.34145788,10.0384094,3.210845412,0.586664215,0.976802878,1.26203877,419.9585325,11.92565659,4.722031733,216.2593168,3.076248982,4913.4069,0.003256396,0.2376,2242
blackwarrior_2019_sw_WHONDRS-S19S_0021,S19S_0021,15,1.563333333,294,63.98666667,0,0.45,32.54069,-87.79835,6,0.026695021,0,2.023910842,0,5.344493409,3.12087044,1.444918077,0.531547926,0.337358331,25.27101425,18.63552181,12.74747884,4.662357757,4.032772365,15.17345007,0.73877359,5.596733553,0.33879875,1429.334848,22.99855603,16.5633976,644.6020307,54.46635216,16182.7929,0.06377144,0.996,6347
weststlouiscreek_2019_sw_WHONDRS-S19S_0027,S19S_0027,16,1.25,91.4,1.97,0,0.296666667,39.89064,-105.91125,1,0,0,0,0.03455425,3.213545266,0.138217001,0.023036167,0,0,0,92.4441373,0,2.476387929,1.462796591,0,0,0.207325501,0,637.4772755,8.33597928,1.762236995,147,4.952010855,7.8138,0,0.4883,5072
king_2019_sw_WHONDRS-S19S_0016,S19S_0016,17,0.953333333,597,34.77333333,0,0.4,39.10445,-96.6025,2,0,0,0,0,0,0,0.006777364,0,0,10.59301932,0,0,0,89.37309387,0,0,0,0.027109454,868.4104469,18.89439002,12.46459493,235,7.341498066,13.2795,0,0.5891,5111
eastriver_2019_sw_WHONDRS-S19S_0100,S19S_0100,18,0.563333333,226,34.74666667,0,0.376666667,38.92352,-106.950961,2,0,0,0.085084306,2.449805447,1.037613489,0.107911803,0.064332036,0.016601816,11.01426719,10.19766537,22.9229572,1.007522698,37.54085603,6.157198444,0,0,5.35616083,2.042023346,1215.538289,7.548161075,0.295586192,315.6672166,3.373637776,86.7375,0,0.5149,2978
crookedriver_2019_sw_WHONDRS-S19S_0041,S19S_0041,24,3.823333333,287.5,4.756666667,0,0.553333333,44.299994,-120.858196,6,0.004911182,0,0.229361147,0,0.449587494,0.186057912,0.047174139,0.012791398,0.031302091,0.003495869,17.15227322,0,73.65621679,5.364698823,0.483528229,0.541846288,0.410155164,1.431511441,387.4927728,14.48334187,6.977273014,130.0926145,1.063426563,6719.3595,0,0.2554,3144
mcraecreek_2019_sw_WHONDRS-S19S_0031,S19S_0031,24,0.47,28.1,1.036666667,0,0.866666667,44.2602628,-122.1650676,1,0,0,0,0,0,0,0,0,0,0,96.39865085,0,3.351104341,0.250244805,0,0,0,0,2254.05851,13.47905047,8.160919859,1285,0.605183177,8.2719,0,1.5268,9134
pringlecreek_2019_sw_WHONDRS-S19S_0025,S19S_0025,28,1.836666667,726,27.41,0,0.41,33.37853,-97.78275,3,0,0,0.130307796,0,3.088444544,1.451359245,0.485284206,0.073391747,0.01947128,19.56414289,0.010484535,0.011982326,0.925634689,67.9248109,6.049576874,0.262113383,0,0.002995582,896.5193891,23.86909393,17.43406665,58,8.496368573,60.0885,0,0.44,4625
gunnisonriver_2019_sw_WHONDRS-S19S_0062,S19S_0062,36,1.7,194.2,10.77,0,0.313333333,38.544583,-106.950417,5,0.001909622,0,0.372983497,0.267904652,0.690660529,0.223872594,0.113878382,0.017874059,2.363741233,10.99247777,40.77554169,1.998732317,31.24093407,3.907441246,2.054829365,0,3.04199304,1.937135558,732.9518037,8.946375289,1.542254183,313.5882105,2.978364019,2618.3196,0.003819243,0.4598,4001
pamunkeyriver_2019_sw_WHONDRS-S19S_0054,S19S_0054,40,4.296666667,121.4,6.936666667,0,0.603333333,37.57261,-77.0237,5,0.027651405,0,2.092180736,0,5.61951968,1.43535931,0.505517964,0.166436322,0.120685815,21.50862045,11.04990375,22.03872303,4.960687243,3.817628424,10.69239622,8.837665638,6.829193248,0.325482178,1116.345194,20.25589042,13.71673338,359.3658253,33.25535674,3580.2882,0.008937828,0.8369,5978
