genome_id,metagenome_id,genome_length,num_contigs,n50,num_16s,num_5s,num_23s,num_trna,completeness,contamination,quality_score,mimag_quality,otu_id,ecosystem,ecosystem_category,ecosystem_type,habitat,longitude,latitude
3300029941_1,3300029941,2995400,48,102618,1,1,1,45,92.19,0.32,90.59,HQ,OTU-1318,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__UBA4765;g__UBA4765;s__GCA_002365175.1,Aquatic,Freshwater,Aquatic,NULL,NULL
3300029798_10,3300029798,2746129,30,199272,0,1,1,22,73.57,0.95,68.82,MQ,OTU-189,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029442_9,3300029442,3257921,54,92309,1,1,1,44,98.04,0,98.04,HQ,OTU-13152,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029442_8,3300029442,3320530,121,61928,2,2,2,49,98.69,0.65,95.44,HQ,OTU-13668,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029442_7,3300029442,3498117,278,18989,1,0,0,40,92.81,1.63,84.66,MQ,OTU-7130,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029442_6,3300029442,4657091,363,17514,1,1,1,38,88.82,3.23,72.67,MQ,OTU-4099,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__UBA2241;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029442_5,3300029442,4796154,114,83079,1,1,1,49,98.25,1.75,89.5,HQ,OTU-13158,d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029442_16,3300029442,1169869,45,41121,1,1,1,44,73.27,0,73.27,MQ,OTU-11917,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA1568;g__;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029442_15,3300029442,1538392,271,6471,1,1,2,26,71.14,1.61,63.09,MQ,OTU-4812,d__Bacteria;p__Omnitrophota;c__Omnitrophia;o__Omnitrophales;f__UBA2337;g__XYB12-FULL-50-7;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029442_14,3300029442,1575951,185,10632,0,1,1,34,84.33,2.15,73.58,MQ,OTU-17610,d__Bacteria;p__Omnitrophota;c__koll11;o__GIF10;f__UBA6249;g__UBA6249;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029442_13,3300029442,1615318,218,8456,1,0,1,26,81.76,1.6,73.76,MQ,OTU-7715,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Polynucleobacter;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029442_11,3300029442,2594469,164,22076,1,1,2,45,94.72,1.98,84.82,HQ,OTU-11916,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__UBA3254;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029349_4,3300029349,1620909,264,6495,1,0,0,17,65.01,0.05,64.76,MQ,OTU-10482,d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA961;g__UBA961;s__,Aquatic,Freshwater,Freshwater,-122.44,41.93
3300029349_3,3300029349,4153719,87,100981,1,1,1,40,98.36,0.6,95.36,HQ,OTU-10487,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__,Aquatic,Freshwater,Freshwater,-122.44,41.93
3300029349_2,3300029349,4413896,469,11316,1,1,1,36,93.09,0.07,92.74,HQ,OTU-10486,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__GCA_002282935.1,Aquatic,Freshwater,Freshwater,-122.44,41.93
3300029349_1,3300029349,4433979,552,9334,0,1,2,35,87.03,2.4,75.03,MQ,OTU-10485,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Pseudanabaena;s__,Aquatic,Freshwater,Freshwater,-122.44,41.93
3300028581_93,3300028581,735006,41,27662,2,0,0,38,86.21,1.72,77.61,MQ,OTU-5194,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__2-01-FULL-47-10;f__;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_82,3300028581,849944,116,8288,1,0,0,35,62.7,0,62.7,MQ,OTU-5401,d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_80,3300028581,798652,78,16053,3,0,1,27,66.53,0,66.53,MQ,OTU-7041,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Midichloriaceae;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_77,3300028581,918436,105,10425,1,0,1,36,53.85,0.11,53.3,MQ,OTU-14803,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA10105;f__UBA927;g__UBA10108;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_76,3300028581,933784,169,5696,0,0,0,19,53.59,0.03,53.44,MQ,OTU-12609,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__UBA954;s__GCA_002293155.1,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_74,3300028581,979697,10,170387,1,1,1,30,83.02,0.94,78.32,MQ,OTU-559,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA2212;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_73,3300028581,991894,156,7145,1,0,0,31,67.45,0.54,64.75,MQ,OTU-3716,d__Bacteria;p__Omnitrophota;c__koll11;o__GIF10;f__UBA6249;g__UBA6249;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_72,3300028581,1034787,26,72392,1,1,1,32,84.83,1.12,79.23,MQ,OTU-561,d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__GCA-2721975;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_70,3300028581,1089451,112,13255,1,1,1,25,63.13,0.86,58.83,MQ,OTU-485,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__AcAMD-5;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_68,3300028581,1172840,181,7143,0,0,0,7,51.35,0.07,51,MQ,OTU-9945,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA5774;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_67,3300028581,1185899,85,23786,1,1,1,38,77.29,0,77.29,MQ,OTU-9944,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_63,3300028581,1304692,154,10722,0,0,0,25,72.16,0,72.16,MQ,OTU-17705,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA3015;g__UBA3015;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_62,3300028581,1345982,36,50946,1,1,1,42,64.22,0,64.22,MQ,OTU-5429,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__Lloydbacteraceae;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_60,3300028581,1454308,27,82366,1,0,0,45,76.61,2.47,64.26,MQ,OTU-9937,d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peribacterales;f__Peribacteraceae;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_58,3300028581,1443327,245,6345,2,0,1,25,68.87,1.01,63.82,MQ,OTU-17983,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__Ga0074140;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_52,3300028581,1896378,79,35871,1,1,1,35,98.9,0,98.9,HQ,OTU-11018,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_51,3300028581,1946127,30,125114,1,1,2,30,74.16,1.35,67.41,MQ,OTU-17823,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_50,3300028581,1970366,88,53414,1,1,1,23,62.18,0.75,58.43,MQ,OTU-10722,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Mycobacterium;s__UBA8140,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_46,3300028581,2081725,290,7950,0,1,1,28,59.6,1.85,50.35,MQ,OTU-1812,d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__UBA7950;f__UBA7950;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_45,3300028581,2053827,197,15600,1,0,0,44,88.68,2.16,77.88,MQ,OTU-13558,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__S36-B12;g__UBA4592;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_43,3300028581,2188450,338,7181,2,1,1,28,73.02,2.97,58.17,MQ,OTU-9275,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_42,3300028581,2279627,59,130884,1,1,1,44,98.08,2.97,83.23,HQ,OTU-9615,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Polynucleobacter;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_40,3300028581,2338102,182,16790,1,1,1,42,94.32,1.12,88.72,HQ,OTU-9276,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_38,3300028581,2461023,89,49818,1,0,0,29,92.45,1.48,85.05,MQ,OTU-14190,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UBA8137;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_37,3300028581,2461175,321,9481,0,0,0,36,82.73,0.55,79.98,MQ,OTU-13509,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA966;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_35,3300028581,2694536,114,50746,1,1,2,42,95.85,0,95.85,HQ,OTU-17805,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__S36-B12;g__GCA-2737125;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_34,3300028581,2767536,421,6899,0,0,0,28,74.66,1.1,69.16,MQ,OTU-17316,d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__;f__;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_33,3300028581,3018526,34,149597,2,3,0,42,97.8,0.27,96.45,MQ,OTU-17311,d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeoclathratiforme,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_31,3300028581,3056320,248,17391,0,2,0,36,96.78,2.77,82.93,MQ,OTU-16673,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__SCGC-AAA027-K21;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_29,3300028581,3325533,124,47038,1,1,1,31,86.56,1.34,79.86,MQ,OTU-8656,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_23,3300028581,4154240,629,7536,0,0,0,23,79.33,2.84,65.13,MQ,OTU-8659,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_20,3300028581,4860083,191,45143,0,2,0,38,95.54,3.22,79.44,MQ,OTU-16859,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA10441;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028581_17,3300028581,5588174,675,10365,2,0,0,44,74.83,3.83,55.68,MQ,OTU-16671,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__UBA967;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_75,3300028571,847205,24,50725,1,0,1,41,87.93,0,87.93,MQ,OTU-5194,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__2-01-FULL-47-10;f__;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_74,3300028571,869626,14,166939,1,1,1,41,63.82,0.85,59.57,MQ,OTU-5193,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_71,3300028571,974653,161,6491,0,0,0,29,66.05,1.1,60.55,MQ,OTU-7041,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Midichloriaceae;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_64,3300028571,1183487,159,8619,0,0,0,21,62.63,2.14,51.93,MQ,OTU-17250,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__AG-120924-bin39;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_61,3300028571,1206664,94,23829,1,1,2,36,77.12,0.05,76.87,MQ,OTU-9944,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_60,3300028571,1227067,76,29579,1,1,1,35,90.82,4.39,68.87,HQ,OTU-13912,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_56,3300028571,1335383,78,32471,1,0,0,33,85.98,1.84,76.78,MQ,OTU-4584,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_55,3300028571,1349253,180,9035,0,0,0,29,74.05,0.84,69.85,MQ,OTU-12609,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__UBA954;s__GCA_002293155.1,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_54,3300028571,1345974,144,14241,0,1,1,34,74.2,2.03,64.05,MQ,OTU-485,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__AcAMD-5;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_53,3300028571,1344658,213,7006,1,0,0,37,63.82,1.08,58.42,MQ,OTU-13558,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__S36-B12;g__UBA4592;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_52,3300028571,1433967,194,8428,0,0,0,21,68.24,0.34,66.54,MQ,OTU-17705,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA3015;g__UBA3015;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_47,3300028571,1769930,211,10503,0,0,0,20,70.03,1.35,63.28,MQ,OTU-13287,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__;f__;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_44,3300028571,1896128,80,35995,1,1,1,36,98.9,0,98.9,HQ,OTU-11018,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_43,3300028571,1917176,345,5695,0,1,1,16,56.63,0.95,51.88,MQ,OTU-13289,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10329;g__UBA10329;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_42,3300028571,1962293,5,1195533,1,1,1,42,100,0,100,HQ,OTU-12607,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_40,3300028571,2150127,48,165789,1,1,2,43,92.39,1.32,85.79,HQ,OTU-9615,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Polynucleobacter;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_38,3300028571,2239966,294,9197,0,0,0,26,72.51,0.07,72.16,MQ,OTU-13509,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA966;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_37,3300028571,2278724,8,731278,1,1,1,38,94.63,1.88,85.23,HQ,OTU-3893,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_35,3300028571,2421304,83,50550,2,1,1,45,95.98,0,95.98,HQ,OTU-17805,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__S36-B12;g__GCA-2737125;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_32,3300028571,2611918,51,85836,1,1,1,38,99.55,0.54,96.85,HQ,OTU-10334,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_30,3300028571,2880949,50,93348,0,2,0,30,80.8,0.1,80.3,MQ,OTU-1965,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_29,3300028571,2898743,89,52097,1,1,1,35,95.07,1.23,88.92,HQ,OTU-14190,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UBA8137;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_27,3300028571,3250487,536,6407,1,0,0,27,67.73,0.67,64.38,MQ,OTU-15227,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__UBA8499;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_24,3300028571,3802725,80,74989,0,3,0,38,98.9,0.87,94.55,MQ,OTU-1974,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_22,3300028571,3956074,110,62115,1,1,1,33,88.69,0,88.69,MQ,OTU-15229,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_21,3300028571,3983516,336,16011,0,1,1,42,94.35,2.2,83.35,MQ,OTU-15230,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_20,3300028571,4275002,151,44914,0,2,0,40,84.24,1.73,75.59,MQ,OTU-16859,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA10441;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_19,3300028571,4188431,733,6008,1,0,1,19,69.49,1.18,63.59,MQ,OTU-17358,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pirellula;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_17,3300028571,6256307,334,28446,1,1,1,57,98.64,0,98.64,HQ,OTU-11376,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028571_14,3300028571,6989586,314,34150,0,1,0,32,91.07,3.57,73.22,MQ,OTU-17392,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Runella;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028569_79,3300028569,811012,18,56507,1,0,1,40,87.93,0,87.93,MQ,OTU-5194,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__2-01-FULL-47-10;f__;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028569_78,3300028569,865286,7,248136,1,1,1,41,63.82,0.85,59.57,MQ,OTU-5193,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028569_72,3300028569,974413,47,36936,1,1,1,41,94.38,0,94.38,HQ,OTU-11989,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA970;s__GCA_002292805.1,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028569_71,3300028569,1095860,156,8205,0,0,0,27,55.61,0.43,53.46,MQ,OTU-17250,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__AG-120924-bin39;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028569_70,3300028569,1106369,98,17816,0,0,0,32,71.18,0.72,67.58,MQ,OTU-485,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__AcAMD-5;g__;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
3300028569_65,3300028569,1229872,84,29167,1,1,2,34,78.26,2.11,67.71,MQ,OTU-9944,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__,Aquatic,Freshwater,freshwater,-1.8737,39.9879
